kind,who,who_url,noticed_at_iso,noticed_at_jst,article_title,article_url,liker_profile
"follow","31know; legal_morae…","https://note.com/smztakeself; https://note.com/legal_moraea3893","2026-03-30T17:16:30.000+09:00","2026/03/30 17:16:30","—","—","https://note.com/smztakeself"
"follow","オモイカネ; SHIN｜純ジャパ保育…","https://note.com/kin_mac_md; https://note.com/shin_sukey","2026-03-29T22:25:04.000+09:00","2026/03/29 22:25:04","—","—","https://note.com/kin_mac_md"
"like","Miik; ゆめかなみき|人が動き…","https://note.com/mio_ko; https://note.com/yumekanamiki","2026-03-27T11:05:39.000+09:00","2026/03/27 11:05:39","戦略コンサルで学んだ仕事のやり方","https://note.com/penduck_mk/n/n8554484e8fc4?from=notice","—"
"follow","rrryyyooo521","https://note.com/ryobon521","2026-03-27T08:56:34.000+09:00","2026/03/27 08:56:34","—","—","https://note.com/ryobon521"
"like","Ron","https://note.com/ronxworks","2026-03-26T20:55:27.000+09:00","2026/03/26 20:55:27","戦略コンサルで学んだ仕事のやり方","https://note.com/penduck_mk/n/n8554484e8fc4?from=notice","—"
"like","brisk_lily7…","https://note.com/brisk_lily7639","2026-03-26T20:49:37.000+09:00","2026/03/26 20:49:37","戦略コンサルの仕事は、実際には何をしているのか","https://note.com/penduck_mk/n/nacca9952b9e3?from=notice","—"
"like","Kyo; こしあん | グローバ…","https://note.com/flower_index; https://note.com/haihaihaii","2026-03-26T19:25:55.000+09:00","2026/03/26 19:25:55","課題解決がうまくいかない理由（課題分解編）","https://note.com/penduck_mk/n/n10a21e58d065?from=notice","—"
"like","Akino; にっそん | コンサル…; yu; 吉川 聡史 | AI＆…","https://note.com/akino12; https://note.com/nisson_cons; https://note.com/yu0412; https://note.com/aiux_unite","2026-03-26T14:06:04.000+09:00","2026/03/26 14:06:04","戦略コンサルで学んだ仕事のやり方","https://note.com/penduck_mk/n/n8554484e8fc4?from=notice","—"
"follow","にっそん | コンサル…; yu","https://note.com/nisson_cons; https://note.com/yu0412","2026-03-26T11:34:18.000+09:00","2026/03/26 11:34:18","—","—","https://note.com/nisson_cons"
"like","吉川 聡史 | AI＆…; とらなりなり","https://note.com/aiux_unite; https://note.com/tora_nari_gogo","2026-03-26T08:53:55.000+09:00","2026/03/26 08:53:55","【自己紹介②】仕事は順調。でも、このままでいいのかと思っていた","https://note.com/penduck_mk/n/n7d0be2eaeb94?from=notice","—"
"like","吉川 聡史 | AI＆…","https://note.com/aiux_unite","2026-03-26T08:53:29.000+09:00","2026/03/26 08:53:29","戦略コンサルのやりがいと葛藤","https://note.com/penduck_mk/n/ndc1e9112c32f?from=notice","—"
"like","駐在員の本音｜戦略企画…; Rio｜藤井亨子 @非…","https://note.com/nomadic_sidejob; https://note.com/rio_ai_bootcamp","2026-03-26T07:56:39.000+09:00","2026/03/26 07:56:39","戦略コンサルで学んだ仕事のやり方","https://note.com/penduck_mk/n/n8554484e8fc4?from=notice","—"
"like","Royal0708; 両麻痺ですが、何か？|…","https://note.com/royal0708; https://note.com/oyazi_kosodate","2026-03-25T21:02:58.000+09:00","2026/03/25 21:02:58","戦略コンサルで学んだ仕事のやり方","https://note.com/penduck_mk/n/n8554484e8fc4?from=notice","—"
"like","魂のしるべ🪬","https://note.com/tamashi5315","2026-03-23T16:35:47.000+09:00","2026/03/23 16:35:47","【自己紹介】戦略コンサルを8年やって、それでも答えが出ていない問い","https://note.com/penduck_mk/n/n0b1a7b82ef02?from=notice","—"
"like","魂のしるべ🪬","https://note.com/tamashi5315","2026-03-23T12:08:35.000+09:00","2026/03/23 12:08:35","戦略コンサルの仕事は、実際には何をしているのか","https://note.com/penduck_mk/n/nacca9952b9e3?from=notice","—"
"follow","🪄あたるの恋愛成功ラボ…","https://note.com/koilavo4suc","2026-03-22T21:36:11.000+09:00","2026/03/22 21:36:11","—","—","https://note.com/koilavo4suc"
"like","🪄あたるの恋愛成功ラボ…; shu","https://note.com/koilavo4suc; https://note.com/taropon123","2026-03-22T21:36:03.000+09:00","2026/03/22 21:36:03","【自己紹介】戦略コンサルを8年やって、それでも答えが出ていない問い","https://note.com/penduck_mk/n/n0b1a7b82ef02?from=notice","—"
